policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,43.25,408.300000,26.068500,14.700000,3.772709,423.000000,27.620443
greedy,43.50,406.900000,28.811456,12.700000,3.335000,419.600000,28.922118
greedy,43.75,401.200000,22.826885,13.600000,3.025815,414.800000,21.988886
greedy,44.00,402.200000,18.437884,12.500000,2.368778,414.700000,18.973959
greedy,44.25,404.100000,27.926292,15.400000,2.366432,419.500000,27.913557
greedy,44.50,395.200000,25.174061,16.700000,2.540779,411.900000,25.198986
greedy,44.75,406.400000,22.750824,14.300000,4.164666,420.700000,19.630192
greedy,45.00,403.500000,19.614337,14.100000,2.884826,417.600000,19.345973
greedy,45.25,403.700000,24.239774,11.500000,1.900292,415.200000,25.032423
greedy,45.50,410.300000,21.827862,15.000000,3.496029,425.300000,21.756481
greedy,45.75,411.300000,23.912108,14.100000,3.034981,425.400000,24.400364
greedy,46.00,415.300000,21.648967,14.600000,3.502380,429.900000,22.781328
greedy,46.25,417.800000,29.464857,14.800000,3.966527,432.600000,29.922864
greedy,46.50,421.600000,21.711236,15.600000,2.633122,437.200000,20.546965
greedy,46.75,411.900000,22.328109,14.300000,1.888562,426.200000,21.529308
greedy,47.00,416.000000,22.895900,14.300000,2.311805,430.300000,21.654099
greedy,47.25,419.700000,21.771796,16.200000,3.359894,435.900000,20.967965
greedy,47.50,416.000000,19.026298,15.400000,4.550946,431.400000,19.044976
greedy,47.75,414.200000,23.686846,14.600000,2.118700,428.800000,23.649289
greedy,48.00,410.100000,25.523192,13.100000,2.846050,423.200000,24.530253
greedy,48.25,415.200000,16.130027,14.900000,3.754997,430.100000,16.888194
greedy,48.50,424.200000,21.513820,14.700000,3.020302,438.900000,22.614892
greedy,48.75,422.800000,28.192986,15.100000,3.842742,437.900000,26.768348
greedy,49.00,411.500000,25.078765,14.800000,3.190263,426.300000,24.290144
greedy,49.25,414.700000,25.403631,13.600000,2.011080,428.300000,26.360956
greedy,49.50,412.200000,22.739100,14.000000,3.091206,426.200000,24.357522
