m,d1,d2,T,n_runs,lambda_E,lambda_ent,policy,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,4,100,5,2,10,0.4,risk_adjusted,0.56820000,0.00933381,0.56820000,0.00933381,0.48960000,0.01187939,0.07860000,0.00254558
500,4,100,5,2,10,0.4,preserve_quality,0.39780000,0.00537401,0.39780000,0.00537401,0.33540000,0.00197990,0.06240000,0.00339411
500,4,100,5,2,10,0.5,priority_credits,0.36180000,0.00593970,0.36180000,0.00593970,0.32740000,0.00763675,0.03440000,0.00169706
500,4,100,5,2,10,0.5,soft_commitment,0.35200000,0.01979899,0.35200000,0.01979899,0.31780000,0.01781909,0.03420000,0.00197990
500,4,100,5,2,10,0.5,risk_adjusted,0.46360000,0.00565685,0.46360000,0.00565685,0.39300000,0.00367696,0.07060000,0.00933381
500,4,100,5,2,10,0.5,preserve_quality,0.33760000,0.01866762,0.33760000,0.01866762,0.27080000,0.01301076,0.06680000,0.00565685
500,4,100,5,2,10,0.6,priority_credits,0.28020000,0.00424264,0.28020000,0.00424264,0.24540000,0.00763675,0.03480000,0.00339411
500,4,100,5,2,10,0.6,soft_commitment,0.26780000,0.01159655,0.26780000,0.01159655,0.22840000,0.01753625,0.03940000,0.00593970
500,4,100,5,2,10,0.6,risk_adjusted,0.37580000,0.01951615,0.37580000,0.01951615,0.31800000,0.01583919,0.05780000,0.00367696
500,4,100,5,2,10,0.6,preserve_quality,0.29300000,0.01555635,0.29300000,0.01555635,0.19360000,0.00848528,0.09940000,0.00707107
500,4,100,5,2,10,0.7,priority_credits,0.21040000,0.00452548,0.21040000,0.00452548,0.17280000,0.00565685,0.03760000,0.00113137
500,4,100,5,2,10,0.7,soft_commitment,0.22460000,0.01781909,0.22460000,0.01781909,0.18560000,0.01244508,0.03900000,0.00537401
500,4,100,5,2,10,0.7,risk_adjusted,0.30140000,0.01272792,0.30140000,0.01272792,0.24800000,0.00905097,0.05340000,0.00367696
500,4,100,5,2,10,0.7,preserve_quality,0.24980000,0.00989949,0.24980000,0.00989949,0.14340000,0.00197990,0.10640000,0.00791960
500,4,100,5,2,10,0.8,priority_credits,0.15860000,0.00254558,0.15860000,0.00254558,0.12180000,0.00311127,0.03680000,0.00056569
500,4,100,5,2,10,0.8,soft_commitment,0.16320000,0.00622254,0.16320000,0.00622254,0.12060000,0.00876812,0.04260000,0.00254558
500,4,100,5,2,10,0.8,risk_adjusted,0.21260000,0.00367696,0.21260000,0.00367696,0.16160000,0.00113137,0.05100000,0.00254558
500,4,100,5,2,10,0.8,preserve_quality,0.21800000,0.00282843,0.21800000,0.00282843,0.08600000,0.00056569,0.13200000,0.00226274
500,4,100,5,2,10,0.9,priority_credits,0.10120000,0.00395980,0.10120000,0.00395980,0.05500000,0.00028284,0.04620000,0.00367696
500,4,100,5,2,10,0.9,soft_commitment,0.09920000,0.00961665,0.09920000,0.00961665,0.05420000,0.00254558,0.04500000,0.00707107
500,4,100,5,2,10,0.9,risk_adjusted,0.12700000,0.00650538,0.12700000,0.00650538,0.08120000,0.00565685,0.04580000,0.00084853
500,4,100,5,2,10,0.9,preserve_quality,0.18240000,0.00395980,0.18240000,0.00395980,0.04440000,0.00169706,0.13800000,0.00565685
500,4,100,5,2,20,0.1,priority_credits,0.69800000,0.02432447,0.69800000,0.02432447,0.67760000,0.02545584,0.02040000,0.00113137
500,4,100,5,2,20,0.1,soft_commitment,0.69900000,0.03988082,0.69900000,0.03988082,0.68160000,0.03733524,0.01740000,0.00254558
500,4,100,5,2,20,0.1,risk_adjusted,0.79480000,0.01979899,0.79480000,0.01979899,0.72680000,0.01527351,0.06800000,0.00452548
500,4,100,5,2,20,0.1,preserve_quality,0.70820000,0.00763675,0.70820000,0.00763675,0.68860000,0.01385929,0.01960000,0.00622254
500,4,100,5,2,20,0.2,priority_credits,0.60540000,0.02517300,0.60540000,0.02517300,0.57100000,0.03252691,0.03440000,0.00735391
500,4,100,5,2,20,0.2,soft_commitment,0.60100000,0.01951615,0.60100000,0.01951615,0.56720000,0.01414214,0.03380000,0.00537401
500,4,100,5,2,20,0.2,risk_adjusted,0.76760000,0.00565685,0.76760000,0.00565685,0.66000000,0.00395980,0.10760000,0.00169706
500,4,100,5,2,20,0.2,preserve_quality,0.58100000,0.00876812,0.58100000,0.00876812,0.53580000,0.00989949,0.04520000,0.00113137
500,4,100,5,2,20,0.3,priority_credits,0.51600000,0.00282843,0.51600000,0.00282843,0.46320000,0.00169706,0.05280000,0.00113137
500,4,100,5,2,20,0.3,soft_commitment,0.51260000,0.01442498,0.51260000,0.01442498,0.46540000,0.02234457,0.04720000,0.00791960
500,4,100,5,2,20,0.3,risk_adjusted,0.68080000,0.00056569,0.68080000,0.00056569,0.56360000,0.00678823,0.11720000,0.00735391
500,4,100,5,2,20,0.3,preserve_quality,0.50800000,0.00791960,0.50800000,0.00791960,0.43660000,0.01781909,0.07140000,0.00989949
500,4,100,5,2,20,0.4,priority_credits,0.45180000,0.01103087,0.45180000,0.01103087,0.38560000,0.01357645,0.06620000,0.00254558
500,4,100,5,2,20,0.4,soft_commitment,0.43500000,0.00028284,0.43500000,0.00028284,0.37140000,0.00084853,0.06360000,0.00056569
500,4,100,5,2,20,0.4,risk_adjusted,0.61080000,0.00226274,0.61080000,0.00226274,0.47420000,0.01272792,0.13660000,0.01046518
500,4,100,5,2,20,0.4,preserve_quality,0.44080000,0.00678823,0.44080000,0.00678823,0.34660000,0.00084853,0.09420000,0.00763675
500,4,100,5,2,20,0.5,priority_credits,0.39200000,0.01074802,0.39200000,0.01074802,0.31980000,0.01159655,0.07220000,0.00084853
500,4,100,5,2,20,0.5,soft_commitment,0.38380000,0.00141421,0.38380000,0.00141421,0.30720000,0.00056569,0.07660000,0.00084853
500,4,100,5,2,20,0.5,risk_adjusted,0.55700000,0.01612203,0.55700000,0.01612203,0.40980000,0.01951615,0.14720000,0.00339411
500,4,100,5,2,20,0.5,preserve_quality,0.37720000,0.00622254,0.37720000,0.00622254,0.24560000,0.00452548,0.13160000,0.00169706
500,4,100,5,2,20,0.6,priority_credits,0.33040000,0.00339411,0.33040000,0.00339411,0.22720000,0.00791960,0.10320000,0.00452548
500,4,100,5,2,20,0.6,soft_commitment,0.30640000,0.02262742,0.30640000,0.02262742,0.22900000,0.02404163,0.07740000,0.00141421
500,4,100,5,2,20,0.6,risk_adjusted,0.46180000,0.00537401,0.46180000,0.00537401,0.31820000,0.00197990,0.14360000,0.00339411
500,4,100,5,2,20,0.6,preserve_quality,0.37120000,0.00565685,0.37120000,0.00565685,0.21120000,0.01244508,0.16000000,0.00678823
500,4,100,5,2,20,0.7,priority_credits,0.27040000,0.00056569,0.27040000,0.00056569,0.16280000,0.01131371,0.10760000,0.01187939
500,4,100,5,2,20,0.7,soft_commitment,0.26020000,0.01046518,0.26020000,0.01046518,0.16300000,0.00876812,0.09720000,0.00169706
500,4,100,5,2,20,0.7,risk_adjusted,0.37280000,0.00056569,0.37280000,0.00056569,0.22460000,0.00933381,0.14820000,0.00989949
500,4,100,5,2,20,0.7,preserve_quality,0.31540000,0.01272792,0.31540000,0.01272792,0.13380000,0.00537401,0.18160000,0.00735391
500,4,100,5,2,20,0.8,priority_credits,0.21260000,0.02008183,0.21260000,0.02008183,0.10400000,0.00622254,0.10860000,0.01385929
500,4,100,5,2,20,0.8,soft_commitment,0.21160000,0.00113137,0.21160000,0.00113137,0.10620000,0.00141421,0.10540000,0.00028284
500,4,100,5,2,20,0.8,risk_adjusted,0.29540000,0.00367696,0.29540000,0.00367696,0.15340000,0.00424264,0.14200000,0.00791960
500,4,100,5,2,20,0.8,preserve_quality,0.31460000,0.00593970,0.31460000,0.00593970,0.08340000,0.00028284,0.23120000,0.00565685
500,4,100,5,2,20,0.9,priority_credits,0.17700000,0.00876812,0.17700000,0.00876812,0.04760000,0.00226274,0.12940000,0.01103087
500,4,100,5,2,20,0.9,soft_commitment,0.17880000,0.00678823,0.17880000,0.00678823,0.05440000,0.00452548,0.12440000,0.01131371
500,4,100,5,2,20,0.9,risk_adjusted,0.23520000,0.01074802,0.23520000,0.01074802,0.08600000,0.00678823,0.14920000,0.00395980
500,4,100,5,2,20,0.9,preserve_quality,0.28740000,0.00141421,0.28740000,0.00141421,0.03580000,0.00084853,0.25160000,0.00056569
500,4,100,5,2,40,0.1,priority_credits,0.69220000,0.02460732,0.69220000,0.02460732,0.66940000,0.01951615,0.02280000,0.00509117
500,4,100,5,2,40,0.1,soft_commitment,0.68180000,0.00197990,0.68180000,0.00197990,0.65920000,0.00565685,0.02260000,0.00367696
500,4,100,5,2,40,0.1,risk_adjusted,0.81680000,0.01640488,0.81680000,0.01640488,0.73460000,0.01329361,0.08220000,0.00311127
500,4,100,5,2,40,0.1,preserve_quality,0.67200000,0.01301076,0.67200000,0.01301076,0.64680000,0.01131371,0.02520000,0.00169706
500,4,100,5,2,40,0.2,priority_credits,0.61680000,0.02149605,0.61680000,0.02149605,0.56840000,0.02206173,0.04840000,0.00056569
500,4,100,5,2,40,0.2,soft_commitment,0.61760000,0.02545584,0.61760000,0.02545584,0.56780000,0.02517300,0.04980000,0.00028284
500,4,100,5,2,40,0.2,risk_adjusted,0.77360000,0.02036468,0.77360000,0.02036468,0.63440000,0.01866762,0.13920000,0.00169706
500,4,100,5,2,40,0.2,preserve_quality,0.59580000,0.02008183,0.59580000,0.02008183,0.54440000,0.02602153,0.05140000,0.00593970
500,4,100,5,2,40,0.3,priority_credits,0.52460000,0.00480833,0.52460000,0.00480833,0.45360000,0.00113137,0.07100000,0.00367696
500,4,100,5,2,40,0.3,soft_commitment,0.52320000,0.00565685,0.52320000,0.00565685,0.44880000,0.00622254,0.07440000,0.00056569
500,4,100,5,2,40,0.3,risk_adjusted,0.74160000,0.00509117,0.74160000,0.00509117,0.56360000,0.01414214,0.17800000,0.00905097
500,4,100,5,2,40,0.3,preserve_quality,0.50660000,0.03196123,0.50660000,0.03196123,0.41360000,0.02884996,0.09300000,0.00311127
500,4,100,5,2,40,0.4,priority_credits,0.48360000,0.00226274,0.48360000,0.00226274,0.38620000,0.00028284,0.09740000,0.00197990
