m,horizon,n_runs,lambda_E,lambda_ent,d1,d2,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,10,10,0.5,15,2500,0.15602625,0.00099009,0.15602625,0.00099009,0.15602625,0.00099009,0.00000000,0.00000000
5000,80,10,10,0.5,15,4000,0.15602000,0.00064673,0.15602000,0.00064673,0.15602000,0.00064673,0.00000000,0.00000000
5000,80,10,10,0.5,15,7000,0.15608625,0.00066648,0.15608625,0.00066648,0.15608600,0.00066632,0.00000025,0.00000079
5000,80,10,10,0.5,15,10000,0.15583650,0.00077571,0.15583650,0.00077571,0.15583650,0.00077571,0.00000000,0.00000000
5000,80,10,10,0.5,20,100,0.13503475,0.00058484,0.13503475,0.00058484,0.11750700,0.00044635,0.01752775,0.00030483
5000,80,10,10,0.5,20,150,0.12955425,0.00062302,0.12955425,0.00062302,0.12061800,0.00072467,0.00893625,0.00021336
5000,80,10,10,0.5,20,200,0.12682275,0.00066934,0.12682275,0.00066934,0.12215825,0.00071362,0.00466450,0.00012699
5000,80,10,10,0.5,20,300,0.12465950,0.00039789,0.12465950,0.00039789,0.12334125,0.00040269,0.00131825,0.00004057
5000,80,10,10,0.5,20,400,0.12354475,0.00060177,0.12354475,0.00060177,0.12317125,0.00060049,0.00037350,0.00003484
5000,80,10,10,0.5,20,600,0.12357275,0.00073516,0.12357275,0.00073516,0.12352825,0.00073696,0.00004450,0.00000970
5000,80,10,10,0.5,20,800,0.12329025,0.00076108,0.12329025,0.00076108,0.12328125,0.00076189,0.00000900,0.00000516
5000,80,10,10,0.5,20,1000,0.12338975,0.00041399,0.12338975,0.00041399,0.12338600,0.00041307,0.00000375,0.00000339
5000,80,10,10,0.5,20,1500,0.12333175,0.00048925,0.12333175,0.00048925,0.12333050,0.00048872,0.00000125,0.00000177
5000,80,10,10,0.5,20,2500,0.12358175,0.00078390,0.12358175,0.00078390,0.12358150,0.00078340,0.00000025,0.00000079
5000,80,10,10,0.5,20,4000,0.12375925,0.00075576,0.12375925,0.00075576,0.12375925,0.00075576,0.00000000,0.00000000
5000,80,10,10,0.5,20,7000,0.12341525,0.00053204,0.12341525,0.00053204,0.12341525,0.00053204,0.00000000,0.00000000
5000,80,10,10,0.5,20,10000,0.12361025,0.00057713,0.12361025,0.00057713,0.12361000,0.00057736,0.00000025,0.00000079
5000,80,10,10,0.5,30,100,0.09053350,0.00051157,0.09053350,0.00051157,0.07968200,0.00054860,0.01085150,0.00016595
5000,80,10,10,0.5,30,150,0.08645000,0.00046686,0.08645000,0.00046686,0.08123775,0.00043354,0.00521225,0.00015005
5000,80,10,10,0.5,30,200,0.08446200,0.00067175,0.08446200,0.00067175,0.08188500,0.00066932,0.00257700,0.00008278
5000,80,10,10,0.5,30,300,0.08333225,0.00071716,0.08333225,0.00071716,0.08269500,0.00073713,0.00063725,0.00004102
5000,80,10,10,0.5,30,400,0.08284375,0.00045820,0.08284375,0.00045820,0.08266550,0.00044995,0.00017825,0.00001509
5000,80,10,10,0.5,30,600,0.08295575,0.00077942,0.08295575,0.00077942,0.08293500,0.00077926,0.00002075,0.00000613
5000,80,10,10,0.5,30,800,0.08245175,0.00052098,0.08245175,0.00052098,0.08244375,0.00052176,0.00000800,0.00000685
5000,80,10,10,0.5,30,1000,0.08234450,0.00037339,0.08234450,0.00037339,0.08234100,0.00037499,0.00000350,0.00000242
5000,80,10,10,0.5,30,1500,0.08316475,0.00109538,0.08316475,0.00109538,0.08316425,0.00109524,0.00000050,0.00000105
5000,80,10,10,0.5,30,2500,0.08318125,0.00067490,0.08318125,0.00067490,0.08318100,0.00067465,0.00000025,0.00000079
5000,80,10,10,0.5,30,4000,0.08284775,0.00072191,0.08284775,0.00072191,0.08284775,0.00072191,0.00000000,0.00000000
5000,80,10,10,0.5,30,7000,0.08276750,0.00066436,0.08276750,0.00066436,0.08276750,0.00066436,0.00000000,0.00000000
5000,80,10,10,0.5,30,10000,0.08264350,0.00052825,0.08264350,0.00052825,0.08264350,0.00052825,0.00000000,0.00000000
5000,80,10,10,0.5,40,100,0.06376275,0.00029605,0.06376275,0.00029605,0.05638050,0.00041143,0.00738225,0.00019413
