m,d1,d2,T,n_runs,lambda_E,easy_entrant_share,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,40,0.1,patient,0.82183820,0.00091716,0.82132140,0.00091766,0.00051680,0.00002470
10000,10,1000,100,5,40,0.1,TAG,0.79535280,0.00065172,0.79360760,0.00067161,0.00174520,0.00004150
10000,10,1000,100,5,40,0.1,TAP,0.79580140,0.00163065,0.79521300,0.00162305,0.00058840,0.00002762
10000,10,1000,100,5,40,0.2,greedy,0.61140120,0.00076339,0.60651260,0.00077678,0.00488860,0.00002895
10000,10,1000,100,5,40,0.2,patient,0.68935920,0.00083855,0.68856520,0.00082958,0.00079400,0.00001451
10000,10,1000,100,5,40,0.2,TAG,0.61080980,0.00085535,0.60340640,0.00086283,0.00740340,0.00008306
10000,10,1000,100,5,40,0.2,TAP,0.61019560,0.00118371,0.60930360,0.00116573,0.00089200,0.00003813
10000,10,1000,100,5,40,0.3,greedy,0.45252320,0.00075580,0.44107020,0.00070314,0.01145300,0.00011142
10000,10,1000,100,5,40,0.3,patient,0.57441360,0.00052915,0.57344600,0.00053367,0.00096760,0.00001683
10000,10,1000,100,5,40,0.3,TAG,0.44826600,0.00055713,0.42943680,0.00061059,0.01882920,0.00007359
10000,10,1000,100,5,40,0.3,TAP,0.44784920,0.00042720,0.44679020,0.00043699,0.00105900,0.00003734
10000,10,1000,100,5,40,0.4,greedy,0.32849680,0.00077792,0.30877800,0.00077168,0.01971880,0.00011003
10000,10,1000,100,5,40,0.4,patient,0.47290000,0.00044780,0.47187260,0.00044198,0.00102740,0.00004871
10000,10,1000,100,5,40,0.4,TAG,0.32063160,0.00041922,0.28962580,0.00052679,0.03100580,0.00013480
10000,10,1000,100,5,40,0.4,TAP,0.31995620,0.00044624,0.31888600,0.00045557,0.00107020,0.00004282
10000,10,1000,100,5,40,0.5,greedy,0.23973880,0.00067129,0.21218540,0.00068095,0.02755340,0.00014418
10000,10,1000,100,5,40,0.5,patient,0.38121300,0.00090520,0.38014200,0.00092359,0.00107100,0.00003335
10000,10,1000,100,5,40,0.5,TAG,0.22919580,0.00046090,0.18975560,0.00040019,0.03944020,0.00022541
10000,10,1000,100,5,40,0.5,TAP,0.22754120,0.00051633,0.22647340,0.00050405,0.00106780,0.00002377
10000,10,1000,100,5,40,0.6,greedy,0.17668260,0.00020491,0.14207360,0.00024859,0.03460900,0.00015258
10000,10,1000,100,5,40,0.6,patient,0.29561000,0.00051135,0.29453060,0.00049916,0.00107940,0.00003390
10000,10,1000,100,5,40,0.6,TAG,0.16687860,0.00030642,0.12244140,0.00018690,0.04443720,0.00022157
10000,10,1000,100,5,40,0.6,TAP,0.15852220,0.00061295,0.15745240,0.00060239,0.00106980,0.00004229
10000,10,1000,100,5,40,0.7,greedy,0.13174280,0.00005348,0.09166800,0.00014242,0.04007480,0.00012258
10000,10,1000,100,5,40,0.7,patient,0.21556780,0.00057647,0.21449520,0.00059304,0.00107260,0.00003075
10000,10,1000,100,5,40,0.7,TAG,0.12311580,0.00019139,0.07589060,0.00014771,0.04722520,0.00023220
10000,10,1000,100,5,40,0.7,TAP,0.10574940,0.00056098,0.10470780,0.00053087,0.00104160,0.00003328
10000,10,1000,100,5,40,0.8,greedy,0.09752920,0.00033414,0.05315100,0.00025636,0.04437820,0.00021673
10000,10,1000,100,5,40,0.8,patient,0.14056340,0.00046064,0.13949300,0.00045210,0.00107040,0.00001682
10000,10,1000,100,5,40,0.8,TAG,0.09221100,0.00013730,0.04317560,0.00021985,0.04903540,0.00028807
10000,10,1000,100,5,40,0.8,TAP,0.06420420,0.00017481,0.06316460,0.00019561,0.00103960,0.00002517
10000,10,1000,100,5,40,0.9,greedy,0.07169260,0.00025703,0.02358660,0.00012282,0.04810600,0.00025708
10000,10,1000,100,5,40,0.9,patient,0.06899500,0.00030120,0.06795140,0.00028943,0.00104360,0.00004733
10000,10,1000,100,5,40,0.9,TAG,0.06885640,0.00021663,0.01873720,0.00012563,0.05011920,0.00014562
10000,10,1000,100,5,40,0.9,TAP,0.02998640,0.00012708,0.02895060,0.00016431,0.00103580,0.00003940
10000,10,1000,100,5,100,0.1,greedy,0.79606400,0.00132393,0.79434880,0.00131471,0.00171520,0.00002939
10000,10,1000,100,5,100,0.1,patient,0.81146160,0.00129374,0.81035660,0.00129867,0.00110500,0.00002374
10000,10,1000,100,5,100,0.1,TAG,0.79672000,0.00077461,0.79479220,0.00079466,0.00192780,0.00005955
10000,10,1000,100,5,100,0.1,TAP,0.79648680,0.00094724,0.79526100,0.00096502,0.00122580,0.00002039
10000,10,1000,100,5,100,0.2,greedy,0.61216240,0.00067197,0.60506840,0.00066774,0.00709400,0.00009280
10000,10,1000,100,5,100,0.2,patient,0.66221840,0.00131688,0.65946980,0.00125827,0.00274860,0.00005932
10000,10,1000,100,5,100,0.2,TAG,0.61301560,0.00087828,0.60420500,0.00084294,0.00881060,0.00008525
10000,10,1000,100,5,100,0.2,TAP,0.61257420,0.00111430,0.60903320,0.00111836,0.00354100,0.00010355
10000,10,1000,100,5,100,0.3,greedy,0.45581640,0.00127549,0.43679720,0.00133977,0.01901920,0.00009937
10000,10,1000,100,5,100,0.3,patient,0.53749520,0.00060591,0.53239320,0.00065600,0.00510200,0.00009194
10000,10,1000,100,5,100,0.3,TAG,0.45532440,0.00075460,0.42958840,0.00076941,0.02573600,0.00013463
10000,10,1000,100,5,100,0.3,TAP,0.45332960,0.00067037,0.44590120,0.00062157,0.00742840,0.00006317
10000,10,1000,100,5,100,0.4,greedy,0.34102140,0.00030912,0.30450360,0.00030762,0.03651780,0.00011444
10000,10,1000,100,5,100,0.4,patient,0.43235820,0.00034840,0.42420180,0.00039728,0.00815640,0.00010814
10000,10,1000,100,5,100,0.4,TAG,0.34021280,0.00079998,0.29002600,0.00080277,0.05018680,0.00021111
10000,10,1000,100,5,100,0.4,TAP,0.33092400,0.00012424,0.31863500,0.00013668,0.01228900,0.00007874
10000,10,1000,100,5,100,0.5,greedy,0.26329220,0.00046990,0.20774300,0.00048585,0.05554920,0.00028689
10000,10,1000,100,5,100,0.5,patient,0.34169840,0.00064563,0.32992900,0.00059477,0.01176940,0.00016418
